dataset,mode,bit_setting,bits,metric,threshold,n,mean,std,sem,ci95_low,ci95_high,model_id,query_source
synthetic,protected_v_lowrank,2,2.0,hidden_cosine_similarity,0.99,2,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,2.5,2.5,hidden_cosine_similarity,0.99,2,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,3,3.0,hidden_cosine_similarity,0.99,2,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,3.5,3.5,hidden_cosine_similarity,0.99,2,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,4,4.0,hidden_cosine_similarity,0.99,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,exact,exact,,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2,2.0,hidden_cosine_similarity,0.95,2,0.0,0.0,0.0,0.0,0.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,2.5,2.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3,3.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,3.5,3.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,full_kv,4,4.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_learned,2,2.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_learned,2.5,2.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_learned,3,3.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_learned,3.5,3.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_learned,4,4.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_static,2,2.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_static,2.5,2.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_static,3,3.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_static,3.5,3.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_block_so8_static,4,4.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_random,2,2.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_random,2.5,2.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_random,3,3.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_random,3.5,3.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,key_only_random,4,4.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v,2,2.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v,2.5,2.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v,3,3.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v,3.5,3.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v,4,4.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,2,2.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,2.5,2.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,3,3.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,3.5,3.5,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
synthetic,protected_v_lowrank,4,4.0,hidden_cosine_similarity,0.95,2,-1.0,0.0,0.0,-1.0,-1.0,Qwen/Qwen3.5-9B,synthetic
