dataset,trial,layer,mode,bit_setting,bits,metric,value
synthetic_replay,1,0,key_only_block_so8_static,3.5,3.5,logit_cosine_similarity,0.9862664341926575
synthetic_replay,1,0,key_only_block_so8_learned,3.5,3.5,logit_cosine_similarity,0.9875703454017639
synthetic_replay,1,0,protected_v,3.5,3.5,logit_cosine_similarity,0.9875703454017639
synthetic_replay,1,0,protected_v_lowrank,3.5,3.5,logit_cosine_similarity,0.9875703454017639
synthetic_replay,1,0,full_kv,3.5,3.5,logit_cosine_similarity,0.989575207233429
synthetic_replay,1,0,key_only_random,4,4.0,logit_cosine_similarity,0.995402991771698
synthetic_replay,1,0,key_only_block_so8_static,4,4.0,logit_cosine_similarity,0.9946922063827515
synthetic_replay,1,0,key_only_block_so8_learned,4,4.0,logit_cosine_similarity,0.9954593777656555
synthetic_replay,1,0,protected_v,4,4.0,logit_cosine_similarity,0.9954593777656555
synthetic_replay,1,0,protected_v_lowrank,4,4.0,logit_cosine_similarity,0.9954593777656555
synthetic_replay,1,0,full_kv,4,4.0,logit_cosine_similarity,0.995402991771698
synthetic_replay,0,0,exact,exact,,logit_mae,0.0
synthetic_replay,0,0,key_only_random,2,2.0,logit_mae,6.742995738983154
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,logit_mae,6.791834354400635
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,logit_mae,5.889800548553467
synthetic_replay,0,0,protected_v,2,2.0,logit_mae,5.889800548553467
synthetic_replay,0,0,protected_v_lowrank,2,2.0,logit_mae,5.889800548553467
synthetic_replay,0,0,full_kv,2,2.0,logit_mae,6.742995738983154
synthetic_replay,0,0,key_only_random,2.5,2.5,logit_mae,4.580500602722168
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,logit_mae,4.732921123504639
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,logit_mae,4.3901238441467285
synthetic_replay,0,0,protected_v,2.5,2.5,logit_mae,4.3901238441467285
synthetic_replay,0,0,protected_v_lowrank,2.5,2.5,logit_mae,4.3901238441467285
synthetic_replay,0,0,full_kv,2.5,2.5,logit_mae,4.580500602722168
synthetic_replay,0,0,key_only_random,3,3.0,logit_mae,3.5125813484191895
synthetic_replay,0,0,key_only_block_so8_static,3,3.0,logit_mae,3.66512131690979
synthetic_replay,0,0,key_only_block_so8_learned,3,3.0,logit_mae,3.8067853450775146
synthetic_replay,0,0,protected_v,3,3.0,logit_mae,3.8067853450775146
synthetic_replay,0,0,protected_v_lowrank,3,3.0,logit_mae,3.8067853450775146
synthetic_replay,0,0,full_kv,3,3.0,logit_mae,3.5125813484191895
synthetic_replay,0,0,key_only_random,3.5,3.5,logit_mae,3.045903444290161
synthetic_replay,0,0,key_only_block_so8_static,3.5,3.5,logit_mae,3.079110622406006
synthetic_replay,0,0,key_only_block_so8_learned,3.5,3.5,logit_mae,3.086848735809326
synthetic_replay,0,0,protected_v,3.5,3.5,logit_mae,3.086848735809326
synthetic_replay,0,0,protected_v_lowrank,3.5,3.5,logit_mae,3.086848735809326
synthetic_replay,0,0,full_kv,3.5,3.5,logit_mae,3.045903444290161
synthetic_replay,0,0,key_only_random,4,4.0,logit_mae,1.8594787120819092
synthetic_replay,0,0,key_only_block_so8_static,4,4.0,logit_mae,1.97017502784729
synthetic_replay,0,0,key_only_block_so8_learned,4,4.0,logit_mae,2.0654900074005127
synthetic_replay,0,0,protected_v,4,4.0,logit_mae,2.0654900074005127
synthetic_replay,0,0,protected_v_lowrank,4,4.0,logit_mae,2.0654900074005127
synthetic_replay,0,0,full_kv,4,4.0,logit_mae,1.8594787120819092
synthetic_replay,1,0,exact,exact,,logit_mae,0.0
synthetic_replay,1,0,key_only_random,2,2.0,logit_mae,6.921707630157471
synthetic_replay,1,0,key_only_block_so8_static,2,2.0,logit_mae,6.870081901550293
synthetic_replay,1,0,key_only_block_so8_learned,2,2.0,logit_mae,6.7751617431640625
synthetic_replay,1,0,protected_v,2,2.0,logit_mae,6.7751617431640625
synthetic_replay,1,0,protected_v_lowrank,2,2.0,logit_mae,6.7751617431640625
synthetic_replay,1,0,full_kv,2,2.0,logit_mae,6.921707630157471
synthetic_replay,1,0,key_only_random,2.5,2.5,logit_mae,5.057701587677002
synthetic_replay,1,0,key_only_block_so8_static,2.5,2.5,logit_mae,4.699097156524658
synthetic_replay,1,0,key_only_block_so8_learned,2.5,2.5,logit_mae,4.591561794281006
synthetic_replay,1,0,protected_v,2.5,2.5,logit_mae,4.591561794281006
synthetic_replay,1,0,protected_v_lowrank,2.5,2.5,logit_mae,4.591561794281006
synthetic_replay,1,0,full_kv,2.5,2.5,logit_mae,5.057701587677002
synthetic_replay,1,0,key_only_random,3,3.0,logit_mae,4.008106231689453
synthetic_replay,1,0,key_only_block_so8_static,3,3.0,logit_mae,3.8835108280181885
synthetic_replay,1,0,key_only_block_so8_learned,3,3.0,logit_mae,3.9813928604125977
synthetic_replay,1,0,protected_v,3,3.0,logit_mae,3.9813928604125977
synthetic_replay,1,0,protected_v_lowrank,3,3.0,logit_mae,3.9813928604125977
synthetic_replay,1,0,full_kv,3,3.0,logit_mae,4.008106231689453
synthetic_replay,1,0,key_only_random,3.5,3.5,logit_mae,3.0855867862701416
synthetic_replay,1,0,key_only_block_so8_static,3.5,3.5,logit_mae,3.436022996902466
synthetic_replay,1,0,key_only_block_so8_learned,3.5,3.5,logit_mae,3.284109354019165
synthetic_replay,1,0,protected_v,3.5,3.5,logit_mae,3.284109354019165
synthetic_replay,1,0,protected_v_lowrank,3.5,3.5,logit_mae,3.284109354019165
synthetic_replay,1,0,full_kv,3.5,3.5,logit_mae,3.0855867862701416
synthetic_replay,1,0,key_only_random,4,4.0,logit_mae,1.9839187860488892
synthetic_replay,1,0,key_only_block_so8_static,4,4.0,logit_mae,2.0879104137420654
synthetic_replay,1,0,key_only_block_so8_learned,4,4.0,logit_mae,2.0476064682006836
synthetic_replay,1,0,protected_v,4,4.0,logit_mae,2.0476064682006836
synthetic_replay,1,0,protected_v_lowrank,4,4.0,logit_mae,2.0476064682006836
synthetic_replay,1,0,full_kv,4,4.0,logit_mae,1.9839187860488892
synthetic_replay,0,0,exact,exact,,logit_mse,0.0
synthetic_replay,0,0,key_only_random,2,2.0,logit_mse,72.2609634399414
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,logit_mse,70.1807861328125
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,logit_mse,55.49306106567383
synthetic_replay,0,0,protected_v,2,2.0,logit_mse,55.49306106567383
synthetic_replay,0,0,protected_v_lowrank,2,2.0,logit_mse,55.49306106567383
synthetic_replay,0,0,full_kv,2,2.0,logit_mse,72.2609634399414
synthetic_replay,0,0,key_only_random,2.5,2.5,logit_mse,35.89558410644531
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,logit_mse,36.6650276184082
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,logit_mse,30.77776527404785
synthetic_replay,0,0,protected_v,2.5,2.5,logit_mse,30.77776527404785
synthetic_replay,0,0,protected_v_lowrank,2.5,2.5,logit_mse,30.77776527404785
synthetic_replay,0,0,full_kv,2.5,2.5,logit_mse,35.89558410644531
synthetic_replay,0,0,key_only_random,3,3.0,logit_mse,20.1205997467041
synthetic_replay,0,0,key_only_block_so8_static,3,3.0,logit_mse,21.48090362548828
synthetic_replay,0,0,key_only_block_so8_learned,3,3.0,logit_mse,23.725709915161133
synthetic_replay,0,0,protected_v,3,3.0,logit_mse,23.725709915161133
synthetic_replay,0,0,protected_v_lowrank,3,3.0,logit_mse,23.725709915161133
synthetic_replay,0,0,full_kv,3,3.0,logit_mse,20.1205997467041
synthetic_replay,0,0,key_only_random,3.5,3.5,logit_mse,14.545999526977539
synthetic_replay,0,0,key_only_block_so8_static,3.5,3.5,logit_mse,14.500348091125488
synthetic_replay,0,0,key_only_block_so8_learned,3.5,3.5,logit_mse,15.433115005493164
synthetic_replay,0,0,protected_v,3.5,3.5,logit_mse,15.433115005493164
synthetic_replay,0,0,protected_v_lowrank,3.5,3.5,logit_mse,15.433115005493164
synthetic_replay,0,0,full_kv,3.5,3.5,logit_mse,14.545999526977539
synthetic_replay,0,0,key_only_random,4,4.0,logit_mse,5.4457197189331055
synthetic_replay,0,0,key_only_block_so8_static,4,4.0,logit_mse,6.232458114624023
synthetic_replay,0,0,key_only_block_so8_learned,4,4.0,logit_mse,6.697124004364014
synthetic_replay,0,0,protected_v,4,4.0,logit_mse,6.697124004364014
synthetic_replay,0,0,protected_v_lowrank,4,4.0,logit_mse,6.697124004364014
synthetic_replay,0,0,full_kv,4,4.0,logit_mse,5.4457197189331055
synthetic_replay,1,0,exact,exact,,logit_mse,0.0
synthetic_replay,1,0,key_only_random,2,2.0,logit_mse,71.41353607177734
synthetic_replay,1,0,key_only_block_so8_static,2,2.0,logit_mse,75.98677062988281
synthetic_replay,1,0,key_only_block_so8_learned,2,2.0,logit_mse,71.81558990478516
synthetic_replay,1,0,protected_v,2,2.0,logit_mse,71.81558990478516
synthetic_replay,1,0,protected_v_lowrank,2,2.0,logit_mse,71.81558990478516
synthetic_replay,1,0,full_kv,2,2.0,logit_mse,71.41353607177734
synthetic_replay,1,0,key_only_random,2.5,2.5,logit_mse,40.6625862121582
synthetic_replay,1,0,key_only_block_so8_static,2.5,2.5,logit_mse,35.94702911376953
synthetic_replay,1,0,key_only_block_so8_learned,2.5,2.5,logit_mse,35.7547492980957
synthetic_replay,1,0,protected_v,2.5,2.5,logit_mse,35.7547492980957
synthetic_replay,1,0,protected_v_lowrank,2.5,2.5,logit_mse,35.7547492980957
synthetic_replay,1,0,full_kv,2.5,2.5,logit_mse,40.6625862121582
synthetic_replay,1,0,key_only_random,3,3.0,logit_mse,25.311813354492188
synthetic_replay,1,0,key_only_block_so8_static,3,3.0,logit_mse,24.205322265625
synthetic_replay,1,0,key_only_block_so8_learned,3,3.0,logit_mse,25.952482223510742
synthetic_replay,1,0,protected_v,3,3.0,logit_mse,25.952482223510742
synthetic_replay,1,0,protected_v_lowrank,3,3.0,logit_mse,25.952482223510742
synthetic_replay,1,0,full_kv,3,3.0,logit_mse,25.311813354492188
synthetic_replay,1,0,key_only_random,3.5,3.5,logit_mse,14.585485458374023
synthetic_replay,1,0,key_only_block_so8_static,3.5,3.5,logit_mse,19.00921630859375
synthetic_replay,1,0,key_only_block_so8_learned,3.5,3.5,logit_mse,17.60561180114746
synthetic_replay,1,0,protected_v,3.5,3.5,logit_mse,17.60561180114746
synthetic_replay,1,0,protected_v_lowrank,3.5,3.5,logit_mse,17.60561180114746
synthetic_replay,1,0,full_kv,3.5,3.5,logit_mse,14.585485458374023
synthetic_replay,1,0,key_only_random,4,4.0,logit_mse,6.322727680206299
synthetic_replay,1,0,key_only_block_so8_static,4,4.0,logit_mse,7.29179048538208
synthetic_replay,1,0,key_only_block_so8_learned,4,4.0,logit_mse,6.367196559906006
synthetic_replay,1,0,protected_v,4,4.0,logit_mse,6.367196559906006
synthetic_replay,1,0,protected_v_lowrank,4,4.0,logit_mse,6.367196559906006
synthetic_replay,1,0,full_kv,4,4.0,logit_mse,6.322727680206299
synthetic_replay,0,0,exact,exact,,logit_spearman,1.0
synthetic_replay,0,0,key_only_random,2,2.0,logit_spearman,0.9561852216720581
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,logit_spearman,0.9504848122596741
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,logit_spearman,0.9596053957939148
synthetic_replay,0,0,protected_v,2,2.0,logit_spearman,0.9596053957939148
synthetic_replay,0,0,protected_v_lowrank,2,2.0,logit_spearman,0.9596053957939148
synthetic_replay,0,0,full_kv,2,2.0,logit_spearman,0.9561852216720581
synthetic_replay,0,0,key_only_random,2.5,2.5,logit_spearman,0.976670503616333
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,logit_spearman,0.9721941947937012
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,logit_spearman,0.9714141488075256
synthetic_replay,0,0,protected_v,2.5,2.5,logit_spearman,0.9714141488075256
synthetic_replay,0,0,protected_v_lowrank,2.5,2.5,logit_spearman,0.9714141488075256
synthetic_replay,0,0,full_kv,2.5,2.5,logit_spearman,0.976670503616333
synthetic_replay,0,0,key_only_random,3,3.0,logit_spearman,0.9817588329315186
synthetic_replay,0,0,key_only_block_so8_static,3,3.0,logit_spearman,0.9813988208770752
synthetic_replay,0,0,key_only_block_so8_learned,3,3.0,logit_spearman,0.9776425957679749
synthetic_replay,0,0,protected_v,3,3.0,logit_spearman,0.9776425957679749
synthetic_replay,0,0,protected_v_lowrank,3,3.0,logit_spearman,0.9776425957679749
synthetic_replay,0,0,full_kv,3,3.0,logit_spearman,0.9817588329315186
synthetic_replay,0,0,key_only_random,3.5,3.5,logit_spearman,0.9874832034111023
synthetic_replay,0,0,key_only_block_so8_static,3.5,3.5,logit_spearman,0.9850110411643982
synthetic_replay,0,0,key_only_block_so8_learned,3.5,3.5,logit_spearman,0.9852750301361084
synthetic_replay,0,0,protected_v,3.5,3.5,logit_spearman,0.9852750301361084
synthetic_replay,0,0,protected_v_lowrank,3.5,3.5,logit_spearman,0.9852750301361084
synthetic_replay,0,0,full_kv,3.5,3.5,logit_spearman,0.9874832034111023
synthetic_replay,0,0,key_only_random,4,4.0,logit_spearman,0.9934355616569519
synthetic_replay,0,0,key_only_block_so8_static,4,4.0,logit_spearman,0.9936035871505737
synthetic_replay,0,0,key_only_block_so8_learned,4,4.0,logit_spearman,0.9921035170555115
synthetic_replay,0,0,protected_v,4,4.0,logit_spearman,0.9921035170555115
synthetic_replay,0,0,protected_v_lowrank,4,4.0,logit_spearman,0.9921035170555115
synthetic_replay,0,0,full_kv,4,4.0,logit_spearman,0.9934355616569519
synthetic_replay,1,0,exact,exact,,logit_spearman,1.0
synthetic_replay,1,0,key_only_random,2,2.0,logit_spearman,0.9421682953834534
synthetic_replay,1,0,key_only_block_so8_static,2,2.0,logit_spearman,0.9466325640678406
synthetic_replay,1,0,key_only_block_so8_learned,2,2.0,logit_spearman,0.9467645883560181
synthetic_replay,1,0,protected_v,2,2.0,logit_spearman,0.9467645883560181
synthetic_replay,1,0,protected_v_lowrank,2,2.0,logit_spearman,0.9467645883560181
synthetic_replay,1,0,full_kv,2,2.0,logit_spearman,0.9421682953834534
synthetic_replay,1,0,key_only_random,2.5,2.5,logit_spearman,0.962761640548706
synthetic_replay,1,0,key_only_block_so8_static,2.5,2.5,logit_spearman,0.9670578837394714
synthetic_replay,1,0,key_only_block_so8_learned,2.5,2.5,logit_spearman,0.967837929725647
synthetic_replay,1,0,protected_v,2.5,2.5,logit_spearman,0.967837929725647
synthetic_replay,1,0,protected_v_lowrank,2.5,2.5,logit_spearman,0.967837929725647
synthetic_replay,1,0,full_kv,2.5,2.5,logit_spearman,0.962761640548706
synthetic_replay,1,0,key_only_random,3,3.0,logit_spearman,0.9760704636573792
synthetic_replay,1,0,key_only_block_so8_static,3,3.0,logit_spearman,0.9774145483970642
synthetic_replay,1,0,key_only_block_so8_learned,3,3.0,logit_spearman,0.976130485534668
synthetic_replay,1,0,protected_v,3,3.0,logit_spearman,0.976130485534668
synthetic_replay,1,0,protected_v_lowrank,3,3.0,logit_spearman,0.976130485534668
synthetic_replay,1,0,full_kv,3,3.0,logit_spearman,0.9760704636573792
synthetic_replay,1,0,key_only_random,3.5,3.5,logit_spearman,0.9840389490127563
synthetic_replay,1,0,key_only_block_so8_static,3.5,3.5,logit_spearman,0.9783506393432617
synthetic_replay,1,0,key_only_block_so8_learned,3.5,3.5,logit_spearman,0.9816388487815857
synthetic_replay,1,0,protected_v,3.5,3.5,logit_spearman,0.9816388487815857
synthetic_replay,1,0,protected_v_lowrank,3.5,3.5,logit_spearman,0.9816388487815857
synthetic_replay,1,0,full_kv,3.5,3.5,logit_spearman,0.9840389490127563
synthetic_replay,1,0,key_only_random,4,4.0,logit_spearman,0.98948734998703
synthetic_replay,1,0,key_only_block_so8_static,4,4.0,logit_spearman,0.9886592626571655
synthetic_replay,1,0,key_only_block_so8_learned,4,4.0,logit_spearman,0.9912874698638916
synthetic_replay,1,0,protected_v,4,4.0,logit_spearman,0.9912874698638916
synthetic_replay,1,0,protected_v_lowrank,4,4.0,logit_spearman,0.9912874698638916
synthetic_replay,1,0,full_kv,4,4.0,logit_spearman,0.98948734998703
synthetic_replay,0,0,exact,exact,,logit_top1_match,1.0
synthetic_replay,0,0,key_only_random,2,2.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,logit_top1_match,1.0
synthetic_replay,0,0,protected_v,2,2.0,logit_top1_match,1.0
synthetic_replay,0,0,protected_v_lowrank,2,2.0,logit_top1_match,1.0
synthetic_replay,0,0,full_kv,2,2.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_random,2.5,2.5,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,logit_top1_match,1.0
synthetic_replay,0,0,protected_v,2.5,2.5,logit_top1_match,1.0
synthetic_replay,0,0,protected_v_lowrank,2.5,2.5,logit_top1_match,1.0
synthetic_replay,0,0,full_kv,2.5,2.5,logit_top1_match,1.0
synthetic_replay,0,0,key_only_random,3,3.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,3,3.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,3,3.0,logit_top1_match,1.0
synthetic_replay,0,0,protected_v,3,3.0,logit_top1_match,1.0
synthetic_replay,0,0,protected_v_lowrank,3,3.0,logit_top1_match,1.0
synthetic_replay,0,0,full_kv,3,3.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_random,3.5,3.5,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,3.5,3.5,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,3.5,3.5,logit_top1_match,1.0
synthetic_replay,0,0,protected_v,3.5,3.5,logit_top1_match,1.0
synthetic_replay,0,0,protected_v_lowrank,3.5,3.5,logit_top1_match,1.0
synthetic_replay,0,0,full_kv,3.5,3.5,logit_top1_match,1.0
synthetic_replay,0,0,key_only_random,4,4.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,4,4.0,logit_top1_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,4,4.0,logit_top1_match,1.0
synthetic_replay,0,0,protected_v,4,4.0,logit_top1_match,1.0
synthetic_replay,0,0,protected_v_lowrank,4,4.0,logit_top1_match,1.0
synthetic_replay,0,0,full_kv,4,4.0,logit_top1_match,1.0
synthetic_replay,1,0,exact,exact,,logit_top1_match,1.0
synthetic_replay,1,0,key_only_random,2,2.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_static,2,2.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_learned,2,2.0,logit_top1_match,1.0
synthetic_replay,1,0,protected_v,2,2.0,logit_top1_match,1.0
synthetic_replay,1,0,protected_v_lowrank,2,2.0,logit_top1_match,1.0
synthetic_replay,1,0,full_kv,2,2.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_random,2.5,2.5,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_static,2.5,2.5,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_learned,2.5,2.5,logit_top1_match,1.0
synthetic_replay,1,0,protected_v,2.5,2.5,logit_top1_match,1.0
synthetic_replay,1,0,protected_v_lowrank,2.5,2.5,logit_top1_match,1.0
synthetic_replay,1,0,full_kv,2.5,2.5,logit_top1_match,1.0
synthetic_replay,1,0,key_only_random,3,3.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_static,3,3.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_learned,3,3.0,logit_top1_match,1.0
synthetic_replay,1,0,protected_v,3,3.0,logit_top1_match,1.0
synthetic_replay,1,0,protected_v_lowrank,3,3.0,logit_top1_match,1.0
synthetic_replay,1,0,full_kv,3,3.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_random,3.5,3.5,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_static,3.5,3.5,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_learned,3.5,3.5,logit_top1_match,1.0
synthetic_replay,1,0,protected_v,3.5,3.5,logit_top1_match,1.0
synthetic_replay,1,0,protected_v_lowrank,3.5,3.5,logit_top1_match,1.0
synthetic_replay,1,0,full_kv,3.5,3.5,logit_top1_match,1.0
synthetic_replay,1,0,key_only_random,4,4.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_static,4,4.0,logit_top1_match,1.0
synthetic_replay,1,0,key_only_block_so8_learned,4,4.0,logit_top1_match,1.0
synthetic_replay,1,0,protected_v,4,4.0,logit_top1_match,1.0
synthetic_replay,1,0,protected_v_lowrank,4,4.0,logit_top1_match,1.0
synthetic_replay,1,0,full_kv,4,4.0,logit_top1_match,1.0
synthetic_replay,0,0,exact,exact,,logit_top5_match,1.0
synthetic_replay,0,0,key_only_random,2,2.0,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,logit_top5_match,1.0
synthetic_replay,0,0,protected_v,2,2.0,logit_top5_match,1.0
synthetic_replay,0,0,protected_v_lowrank,2,2.0,logit_top5_match,1.0
synthetic_replay,0,0,full_kv,2,2.0,logit_top5_match,1.0
synthetic_replay,0,0,key_only_random,2.5,2.5,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,logit_top5_match,1.0
synthetic_replay,0,0,protected_v,2.5,2.5,logit_top5_match,1.0
synthetic_replay,0,0,protected_v_lowrank,2.5,2.5,logit_top5_match,1.0
synthetic_replay,0,0,full_kv,2.5,2.5,logit_top5_match,1.0
synthetic_replay,0,0,key_only_random,3,3.0,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,3,3.0,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,3,3.0,logit_top5_match,1.0
synthetic_replay,0,0,protected_v,3,3.0,logit_top5_match,1.0
synthetic_replay,0,0,protected_v_lowrank,3,3.0,logit_top5_match,1.0
synthetic_replay,0,0,full_kv,3,3.0,logit_top5_match,1.0
synthetic_replay,0,0,key_only_random,3.5,3.5,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_static,3.5,3.5,logit_top5_match,1.0
synthetic_replay,0,0,key_only_block_so8_learned,3.5,3.5,logit_top5_match,1.0
synthetic_replay,0,0,protected_v,3.5,3.5,logit_top5_match,1.0
synthetic_replay,0,0,protected_v_lowrank,3.5,3.5,logit_top5_match,1.0
synthetic_replay,0,0,full_kv,3.5,3.5,logit_top5_match,1.0
