mode,bit_setting,protected_fraction,secondary_fraction,high_bits,low_rank_rank,hidden_cosine_similarity,attention_output_relative_error,memory_ratio_vs_exact
protected_v_lowrank_grid,2,0.05,0.0,4,8,0.9911803603172302,0.13607656955718994,0.392578125
protected_v_lowrank_grid,2,0.05,0.0,8,2,0.9753296375274658,0.2216349095106125,0.298828125
protected_v_lowrank_grid,2,0.05,0.0,8,4,0.9827799797058105,0.1869216114282608,0.330078125
protected_v_lowrank_grid,2,0.05,0.0,8,8,0.9911803603172302,0.13607656955718994,0.392578125
protected_v_lowrank_grid,2,0.05,0.1,4,2,0.984558641910553,0.17586462199687958,0.306640625
protected_v_lowrank_grid,2,0.05,0.1,4,4,0.98982173204422,0.14305399358272552,0.337890625
protected_v_lowrank_grid,2,0.05,0.1,4,8,0.9958092570304871,0.09151308238506317,0.400390625
protected_v_lowrank_grid,2,0.05,0.1,8,2,0.985834002494812,0.16886906325817108,0.322265625
protected_v_lowrank_grid,2,0.05,0.1,8,4,0.9908214807510376,0.13646993041038513,0.353515625
protected_v_lowrank_grid,2,0.05,0.1,8,8,0.9967156648635864,0.08156026154756546,0.416015625
protected_v_lowrank_grid,2,0.05,0.2,4,2,0.984558641910553,0.17586462199687958,0.306640625
protected_v_lowrank_grid,2,0.05,0.2,4,4,0.98982173204422,0.14305399358272552,0.337890625
protected_v_lowrank_grid,2,0.05,0.2,4,8,0.9958092570304871,0.09151308238506317,0.400390625
protected_v_lowrank_grid,2,0.05,0.2,8,2,0.985834002494812,0.16886906325817108,0.322265625
protected_v_lowrank_grid,2,0.05,0.2,8,4,0.9908214807510376,0.13646993041038513,0.353515625
protected_v_lowrank_grid,2,0.05,0.2,8,8,0.9967156648635864,0.08156026154756546,0.416015625
protected_v_lowrank_grid,2,0.1,0.0,4,2,0.9753296375274658,0.2216349095106125,0.298828125
protected_v_lowrank_grid,2,0.1,0.0,4,4,0.9827799797058105,0.1869216114282608,0.330078125
protected_v_lowrank_grid,2,0.1,0.0,4,8,0.9911803603172302,0.13607656955718994,0.392578125
protected_v_lowrank_grid,2,0.1,0.0,8,2,0.9753296375274658,0.2216349095106125,0.298828125
protected_v_lowrank_grid,2,0.1,0.0,8,4,0.9827799797058105,0.1869216114282608,0.330078125
protected_v_lowrank_grid,2,0.1,0.0,8,8,0.9911803603172302,0.13607656955718994,0.392578125
protected_v_lowrank_grid,2,0.1,0.1,4,2,0.984558641910553,0.17586462199687958,0.306640625
protected_v_lowrank_grid,2,0.1,0.1,4,4,0.98982173204422,0.14305399358272552,0.337890625
protected_v_lowrank_grid,2,0.1,0.1,4,8,0.9958092570304871,0.09151308238506317,0.400390625
protected_v_lowrank_grid,2,0.1,0.1,8,2,0.985834002494812,0.16886906325817108,0.322265625
protected_v_lowrank_grid,2,0.1,0.1,8,4,0.9908214807510376,0.13646993041038513,0.353515625
protected_v_lowrank_grid,2,0.1,0.1,8,8,0.9967156648635864,0.08156026154756546,0.416015625
protected_v_lowrank_grid,2,0.1,0.2,4,2,0.984558641910553,0.17586462199687958,0.306640625
protected_v_lowrank_grid,2,0.1,0.2,4,4,0.98982173204422,0.14305399358272552,0.337890625
protected_v_lowrank_grid,2,0.1,0.2,4,8,0.9958092570304871,0.09151308238506317,0.400390625
protected_v_lowrank_grid,2,0.1,0.2,8,2,0.985834002494812,0.16886906325817108,0.322265625
protected_v_lowrank_grid,2,0.1,0.2,8,4,0.9908214807510376,0.13646993041038513,0.353515625
protected_v_lowrank_grid,2,0.1,0.2,8,8,0.9967156648635864,0.08156026154756546,0.416015625
protected_v_lowrank_grid,2,0.2,0.0,4,2,0.9753296375274658,0.2216349095106125,0.298828125
protected_v_lowrank_grid,2,0.2,0.0,4,4,0.9827799797058105,0.1869216114282608,0.330078125
protected_v_lowrank_grid,2,0.2,0.0,4,8,0.9911803603172302,0.13607656955718994,0.392578125
protected_v_lowrank_grid,2,0.2,0.0,8,2,0.9753296375274658,0.2216349095106125,0.298828125
protected_v_lowrank_grid,2,0.2,0.0,8,4,0.9827799797058105,0.1869216114282608,0.330078125
protected_v_lowrank_grid,2,0.2,0.0,8,8,0.9911803603172302,0.13607656955718994,0.392578125
protected_v_lowrank_grid,2,0.2,0.1,4,2,0.984558641910553,0.17586462199687958,0.306640625
protected_v_lowrank_grid,2,0.2,0.1,4,4,0.98982173204422,0.14305399358272552,0.337890625
protected_v_lowrank_grid,2,0.2,0.1,4,8,0.9958092570304871,0.09151308238506317,0.400390625
protected_v_lowrank_grid,2,0.2,0.1,8,2,0.985834002494812,0.16886906325817108,0.322265625
protected_v_lowrank_grid,2,0.2,0.1,8,4,0.9908214807510376,0.13646993041038513,0.353515625
protected_v_lowrank_grid,2,0.2,0.1,8,8,0.9967156648635864,0.08156026154756546,0.416015625
protected_v_lowrank_grid,2,0.2,0.2,4,2,0.984558641910553,0.17586462199687958,0.306640625
protected_v_lowrank_grid,2,0.2,0.2,4,4,0.98982173204422,0.14305399358272552,0.337890625
protected_v_lowrank_grid,2,0.2,0.2,4,8,0.9958092570304871,0.09151308238506317,0.400390625
protected_v_lowrank_grid,2,0.2,0.2,8,2,0.985834002494812,0.16886906325817108,0.322265625
protected_v_lowrank_grid,2,0.2,0.2,8,4,0.9908214807510376,0.13646993041038513,0.353515625
protected_v_lowrank_grid,2,0.2,0.2,8,8,0.9967156648635864,0.08156026154756546,0.416015625
protected_v_lowrank_grid,2,0.3,0.0,4,2,0.9858437180519104,0.16872195899486542,0.423828125
protected_v_lowrank_grid,2,0.3,0.0,4,4,0.990828812122345,0.1362963616847992,0.455078125
protected_v_lowrank_grid,2,0.3,0.0,4,8,0.9967252612113953,0.08140881359577179,0.517578125
protected_v_lowrank_grid,2,0.3,0.0,8,2,0.9858437180519104,0.16872195899486542,0.423828125
protected_v_lowrank_grid,2,0.3,0.0,8,4,0.990828812122345,0.1362963616847992,0.455078125
protected_v_lowrank_grid,2,0.3,0.0,8,8,0.9967252612113953,0.08140881359577179,0.517578125
protected_v_lowrank_grid,2,0.3,0.1,4,2,0.9932208061218262,0.11624287813901901,0.431640625
protected_v_lowrank_grid,2,0.3,0.1,4,4,0.9956907629966736,0.09296917915344238,0.462890625
protected_v_lowrank_grid,2,0.3,0.1,4,8,0.999103307723999,0.04305419325828552,0.525390625
protected_v_lowrank_grid,2,0.3,0.1,8,2,0.9941467046737671,0.10830088704824448,0.447265625
protected_v_lowrank_grid,2,0.3,0.1,8,4,0.996552050113678,0.08353988826274872,0.478515625
protected_v_lowrank_grid,2,0.3,0.1,8,8,0.9998542070388794,0.01805555447936058,0.541015625
protected_v_lowrank_grid,2,0.3,0.2,4,2,0.9932208061218262,0.11624287813901901,0.431640625
protected_v_lowrank_grid,2,0.3,0.2,4,4,0.9956907629966736,0.09296917915344238,0.462890625
protected_v_lowrank_grid,2,0.3,0.2,4,8,0.999103307723999,0.04305419325828552,0.525390625
protected_v_lowrank_grid,2,0.3,0.2,8,2,0.9941467046737671,0.10830088704824448,0.447265625
protected_v_lowrank_grid,2,0.3,0.2,8,4,0.996552050113678,0.08353988826274872,0.478515625
protected_v_lowrank_grid,2,0.3,0.2,8,8,0.9998542070388794,0.01805555447936058,0.541015625
