dataset,trial,layer,score_source,granularity,head_index,channel_index,group_index,score
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,31,3,2.189833879470825
research_synthetic,0,0,teacher-gradient-proxy,per-layer,-1,-1,-1,0.2350592315196991
research_synthetic,0,0,teacher-gradient-proxy,per-head,0,-1,-1,0.2350592315196991
research_synthetic,0,0,teacher-gradient-proxy,per-group,0,-1,0,0.26492032408714294
research_synthetic,0,0,teacher-gradient-proxy,per-group,0,-1,1,0.29837414622306824
research_synthetic,0,0,teacher-gradient-proxy,per-group,0,-1,2,0.17328476905822754
research_synthetic,0,0,teacher-gradient-proxy,per-group,0,-1,3,0.20365767180919647
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,0,0,0.13010796904563904
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,1,0,0.1414632499217987
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,2,0,0.1359424591064453
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,3,0,0.22477002441883087
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,4,0,0.6506167054176331
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,5,0,0.2986157238483429
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,6,0,0.14132362604141235
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,7,0,0.3965229094028473
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,8,1,0.07362966984510422
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,9,1,0.2038756012916565
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,10,1,0.5094608664512634
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,11,1,0.1469469964504242
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,12,1,0.22387497127056122
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,13,1,0.4956304430961609
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,14,1,0.5553011298179626
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,15,1,0.17827333509922028
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,16,2,0.24546754360198975
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,17,2,0.19458507001399994
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,18,2,0.16794832050800323
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,19,2,0.3927524983882904
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,20,2,0.06893031299114227
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,21,2,0.028772709891200066
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,22,2,0.22177231311798096
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,23,2,0.06604950875043869
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,24,3,0.1686164289712906
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,25,3,0.033240340650081635
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,26,3,0.212156280875206
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,27,3,0.2670776844024658
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,28,3,0.2565687894821167
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,29,3,0.145819753408432
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,30,3,0.13492433726787567
research_synthetic,0,0,teacher-gradient-proxy,per-channel,0,31,3,0.41085779666900635
